-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 04/01/2024 through 06/30/2024 in UTC
Location: Latitude  13.0827   Longitude 80.2707 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/hr) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                    MERRA-2 Surface Pressure (kPa) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Crop: 20-m broadleaf-deciduous trees (10%) & wheat (vegtype_12) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC
2024,4,1,0,0.02,25.75,1.89,100.59,1.75
2024,4,1,1,0.5,27.54,2.83,100.67,1.95
2024,4,1,2,1.38,29.48,3.17,100.74,2.08
2024,4,1,3,2.22,31.56,3.06,100.76,1.98
2024,4,1,4,2.96,33.54,2.78,100.72,1.78
2024,4,1,5,3.41,35.19,2.5,100.63,1.57
2024,4,1,6,3.37,36.27,2.33,100.49,1.49
2024,4,1,7,3.51,37.02,2.63,100.34,1.63
2024,4,1,8,3.13,37.33,3.32,100.21,2.03
2024,4,1,9,2.44,37.1,4.15,100.13,2.53
2024,4,1,10,1.71,36.29,5.03,100.12,3.06
2024,4,1,11,0.83,34.84,5.79,100.16,3.64
2024,4,1,12,0.1,32.65,6.18,100.24,4.25
2024,4,1,13,0.0,30.64,6.22,100.33,4.4
2024,4,1,14,0.0,29.39,5.71,100.41,3.99
2024,4,1,15,0.0,28.7,4.96,100.47,3.5
2024,4,1,16,0.0,28.24,4.13,100.48,3.07
2024,4,1,17,0.0,27.73,3.15,100.44,2.71
2024,4,1,18,0.0,27.11,2.43,100.38,2.32
2024,4,1,19,0.0,26.56,2.12,100.3,1.91
2024,4,1,20,0.0,26.1,1.92,100.24,1.66
2024,4,1,21,0.0,25.7,2.0,100.22,1.79
2024,4,1,22,0.0,25.34,2.29,100.24,2.15
2024,4,1,23,0.0,25.09,2.59,100.31,2.51
2024,4,2,0,0.02,25.0,2.85,100.38,2.78
2024,4,2,1,0.42,26.8,4.28,100.47,2.94
2024,4,2,2,1.25,29.11,4.64,100.54,3.07
2024,4,2,3,2.09,31.62,4.29,100.56,2.78
2024,4,2,4,2.98,34.04,3.6,100.51,2.31
2024,4,2,5,3.31,36.05,3.09,100.42,2.03
2024,4,2,6,3.51,37.41,3.28,100.3,2.17
2024,4,2,7,3.5,38.03,3.86,100.17,2.55
2024,4,2,8,3.15,38.07,4.45,100.04,2.93
2024,4,2,9,2.52,37.57,4.84,99.98,3.2
2024,4,2,10,1.71,36.67,5.03,99.96,3.33
2024,4,2,11,0.77,35.31,5.18,100.0,3.44
2024,4,2,12,0.09,32.98,4.83,100.08,3.67
2024,4,2,13,0.0,30.62,4.63,100.2,3.8
2024,4,2,14,0.0,29.3,4.38,100.33,3.48
2024,4,2,15,0.0,28.35,3.81,100.42,3.2
2024,4,2,16,0.0,27.64,3.35,100.45,3.05
2024,4,2,17,0.0,27.07,3.08,100.46,2.92
2024,4,2,18,0.0,26.59,3.0,100.42,2.88
2024,4,2,19,0.0,26.22,3.05,100.36,2.95
2024,4,2,20,0.0,25.92,3.19,100.3,3.12
2024,4,2,21,0.0,25.72,3.4,100.28,3.33
2024,4,2,22,0.0,25.64,3.62,100.31,3.54
2024,4,2,23,0.0,25.71,4.01,100.37,3.76
2024,4,3,0,0.02,25.82,4.28,100.43,3.82
2024,4,3,1,0.53,27.15,5.38,100.5,3.7
2024,4,3,2,1.42,29.15,5.55,100.56,3.69
2024,4,3,3,2.24,31.41,5.33,100.59,3.5
2024,4,3,4,2.83,33.65,5.1,100.56,3.33
2024,4,3,5,3.21,35.6,5.1,100.5,3.3
2024,4,3,6,3.46,36.79,5.39,100.4,3.47
2024,4,3,7,3.46,37.22,5.86,100.28,3.73
2024,4,3,8,3.18,37.13,6.28,100.18,3.97
2024,4,3,9,2.43,36.63,6.46,100.12,4.08
2024,4,3,10,1.7,35.75,6.42,100.1,4.09
2024,4,3,11,0.83,34.34,6.23,100.12,4.05
2024,4,3,12,0.11,32.27,5.7,100.17,4.06
2024,4,3,13,0.0,30.3,5.35,100.26,4.04
2024,4,3,14,0.0,29.18,4.97,100.36,3.7
2024,4,3,15,0.0,28.41,4.35,100.42,3.45
2024,4,3,16,0.0,27.8,3.77,100.46,3.32
2024,4,3,17,0.0,27.25,3.41,100.45,3.23
2024,4,3,18,0.0,26.8,3.25,100.41,3.15
2024,4,3,19,0.0,26.4,3.18,100.35,3.09
2024,4,3,20,0.0,26.08,3.18,100.32,3.09
2024,4,3,21,0.0,25.82,3.28,100.3,3.18
2024,4,3,22,0.0,25.61,3.37,100.32,3.29
2024,4,3,23,0.0,25.42,3.44,100.37,3.36
2024,4,4,0,0.02,25.34,3.48,100.43,3.4
2024,4,4,1,0.47,27.25,4.83,100.5,3.41
2024,4,4,2,1.32,29.49,5.21,100.57,3.47
2024,4,4,3,2.17,32.05,5.04,100.59,3.31
2024,4,4,4,2.95,34.55,4.89,100.55,3.23
2024,4,4,5,3.21,36.36,4.67,100.5,3.19
2024,4,4,6,3.25,37.52,4.76,100.41,3.26
2024,4,4,7,3.15,38.08,5.02,100.32,3.39
2024,4,4,8,3.14,38.07,5.35,100.22,3.57
2024,4,4,9,2.37,37.58,5.49,100.16,3.67
2024,4,4,10,1.67,36.71,5.39,100.13,3.61
2024,4,4,11,0.85,35.4,5.17,100.15,3.5
2024,4,4,12,0.12,33.07,4.37,100.21,3.5
2024,4,4,13,0.0,30.59,3.93,100.3,3.58
2024,4,4,14,0.0,29.39,3.67,100.39,3.3
2024,4,4,15,0.0,28.48,3.27,100.47,3.01
2024,4,4,16,0.0,27.79,2.94,100.5,2.8
2024,4,4,17,0.0,27.23,2.77,100.49,2.61
2024,4,4,18,0.0,26.72,2.61,100.44,2.4
2024,4,4,19,0.0,26.28,2.44,100.37,2.22
2024,4,4,20,0.0,25.87,2.31,100.3,2.1
2024,4,4,21,0.0,25.5,2.24,100.28,2.06
2024,4,4,22,0.0,25.18,2.24,100.3,2.09
2024,4,4,23,0.0,24.89,2.32,100.36,2.19
2024,4,5,0,0.03,24.77,2.44,100.44,2.32
2024,4,5,1,0.53,26.75,3.29,100.52,2.26
2024,4,5,2,1.4,29.25,3.53,100.59,2.3
2024,4,5,3,2.25,32.1,3.61,100.6,2.34
2024,4,5,4,2.97,35.36,3.78,100.55,2.56
2024,4,5,5,3.38,37.01,4.01,100.46,2.78
2024,4,5,6,3.07,38.03,4.31,100.34,2.95
2024,4,5,7,3.36,38.57,4.64,100.2,3.16
2024,4,5,8,2.6,38.65,5.01,100.08,3.4
2024,4,5,9,2.13,38.22,5.29,100.01,3.61
2024,4,5,10,1.73,37.4,5.39,99.99,3.72
2024,4,5,11,0.85,36.14,5.36,100.03,3.76
2024,4,5,12,0.12,33.91,4.67,100.1,3.82
2024,4,5,13,0.0,31.61,4.27,100.18,3.84
2024,4,5,14,0.0,30.55,3.96,100.27,3.51
2024,4,5,15,0.0,29.74,3.5,100.33,3.14
2024,4,5,16,0.0,29.03,3.0,100.35,2.84
2024,4,5,17,0.0,28.36,2.74,100.31,2.64
2024,4,5,18,0.0,27.79,2.69,100.26,2.55
2024,4,5,19,0.0,27.28,2.72,100.2,2.6
2024,4,5,20,0.0,26.85,2.81,100.15,2.76
2024,4,5,21,0.0,26.47,2.98,100.13,2.99
2024,4,5,22,0.0,26.18,3.21,100.15,3.23
2024,4,5,23,0.0,25.94,3.43,100.21,3.43
2024,4,6,0,0.02,25.82,3.63,100.28,3.56
2024,4,6,1,0.41,27.37,4.76,100.36,3.26
2024,4,6,2,1.12,29.93,4.76,100.41,3.14
2024,4,6,3,1.96,33.05,4.71,100.43,3.08
2024,4,6,4,2.69,35.86,4.24,100.4,2.86
2024,4,6,5,3.11,37.63,4.0,100.32,2.77
2024,4,6,6,3.21,38.71,4.21,100.2,2.89
2024,4,6,7,3.18,39.04,4.64,100.06,3.18
2024,4,6,8,2.74,38.84,5.22,99.95,3.59
2024,4,6,9,2.15,38.23,5.68,99.89,3.92
2024,4,6,10,1.45,37.24,6.0,99.88,4.12
2024,4,6,11,0.65,35.8,6.17,99.92,4.24
2024,4,6,12,0.09,33.75,5.8,99.99,4.29
2024,4,6,13,0.0,31.91,5.59,100.07,4.22
2024,4,6,14,0.0,30.85,5.23,100.16,3.8
2024,4,6,15,0.0,30.17,4.44,100.23,3.26
2024,4,6,16,0.0,29.66,3.59,100.26,2.78
2024,4,6,17,0.0,29.16,2.75,100.25,2.43
2024,4,6,18,0.0,28.65,2.27,100.2,2.14
2024,4,6,19,0.0,28.22,2.08,100.15,1.93
2024,4,6,20,0.0,27.82,2.01,100.11,1.86
2024,4,6,21,0.0,27.49,2.22,100.1,2.12
2024,4,6,22,0.0,27.21,2.53,100.12,2.47
2024,4,6,23,0.0,26.97,2.82,100.15,2.75
2024,4,7,0,0.02,26.83,3.18,100.22,3.01
2024,4,7,1,0.4,28.11,4.57,100.28,3.12
2024,4,7,2,1.16,30.32,5.11,100.33,3.39
2024,4,7,3,2.0,33.09,5.27,100.36,3.48
2024,4,7,4,2.73,35.6,5.11,100.35,3.47
2024,4,7,5,3.19,37.27,5.11,100.3,3.54
2024,4,7,6,3.24,38.26,5.43,100.23,3.73
2024,4,7,7,3.4,38.66,5.86,100.12,3.99
2024,4,7,8,3.05,38.58,6.23,100.02,4.22
2024,4,7,9,2.45,38.13,6.26,99.96,4.25
2024,4,7,10,1.67,37.28,6.0,99.92,4.1
2024,4,7,11,0.81,35.99,5.63,99.94,3.89
2024,4,7,12,0.11,33.59,4.67,100.0,3.82
2024,4,7,13,0.0,31.07,4.32,100.08,3.93
2024,4,7,14,0.0,29.93,4.11,100.17,3.78
2024,4,7,15,0.0,28.95,3.87,100.25,3.69
2024,4,7,16,0.0,28.18,3.75,100.29,3.67
2024,4,7,17,0.0,27.5,3.64,100.28,3.59
