-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 03/31/2024 in UTC
Location: Latitude  28.6139   Longitude 77.209 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/hr) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                    MERRA-2 Surface Pressure (kPa) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Rough bare soil (vegtype_11) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC
2024,1,1,0,0.0,5.87,2.4,99.39,2.7
2024,1,1,1,0.0,5.86,2.24,99.45,2.45
2024,1,1,2,0.16,7.62,1.8,99.5,2.13
2024,1,1,3,0.35,10.63,2.03,99.56,1.55
2024,1,1,4,0.53,13.98,1.49,99.59,1.12
2024,1,1,5,0.66,18.01,1.48,99.56,1.15
2024,1,1,6,1.06,19.63,1.78,99.46,1.4
2024,1,1,7,1.34,20.61,2.1,99.36,1.65
2024,1,1,8,1.38,21.11,2.28,99.26,1.8
2024,1,1,9,1.02,20.79,2.39,99.21,1.91
2024,1,1,10,0.58,19.73,2.07,99.18,2.01
2024,1,1,11,0.14,16.3,1.95,99.19,2.22
2024,1,1,12,0.0,14.14,2.35,99.23,2.56
2024,1,1,13,0.0,12.91,2.59,99.29,2.91
2024,1,1,14,0.0,11.73,2.8,99.34,3.27
2024,1,1,15,0.0,10.72,2.99,99.38,3.66
2024,1,1,16,0.0,9.88,3.13,99.4,4.04
2024,1,1,17,0.0,9.17,3.18,99.4,4.33
2024,1,1,18,0.0,8.53,3.17,99.39,4.52
2024,1,1,19,0.0,7.91,3.12,99.36,4.57
2024,1,1,20,0.0,7.33,3.08,99.32,4.56
2024,1,1,21,0.0,6.78,3.02,99.28,4.4
2024,1,1,22,0.0,6.26,2.97,99.27,4.13
2024,1,1,23,0.0,5.81,2.9,99.29,3.85
2024,1,2,0,0.0,5.42,2.85,99.32,3.65
2024,1,2,1,0.0,5.08,2.8,99.37,3.51
2024,1,2,2,0.22,7.44,2.63,99.43,3.21
2024,1,2,3,0.54,10.47,2.72,99.51,2.08
2024,1,2,4,0.81,14.27,1.9,99.57,1.49
2024,1,2,5,1.0,18.01,1.98,99.54,1.52
2024,1,2,6,1.41,19.47,2.13,99.46,1.62
2024,1,2,7,1.6,20.41,2.25,99.35,1.71
2024,1,2,8,1.41,20.87,2.28,99.26,1.75
2024,1,2,9,1.04,20.48,2.15,99.19,1.67
2024,1,2,10,0.59,19.36,1.63,99.15,1.59
2024,1,2,11,0.14,16.33,1.57,99.14,1.68
2024,1,2,12,0.0,14.71,1.65,99.19,1.68
2024,1,2,13,0.0,13.88,1.51,99.24,1.52
2024,1,2,14,0.0,12.84,1.41,99.28,1.43
2024,1,2,15,0.0,12.12,1.53,99.29,1.56
2024,1,2,16,0.0,11.36,1.71,99.29,1.74
2024,1,2,17,0.0,10.36,1.91,99.28,1.98
2024,1,2,18,0.0,9.16,2.22,99.26,2.39
2024,1,2,19,0.0,8.12,2.46,99.26,2.74
2024,1,2,20,0.0,7.72,2.56,99.26,2.94
2024,1,2,21,0.0,7.58,2.57,99.25,3.02
2024,1,2,22,0.0,7.37,2.53,99.24,2.98
2024,1,2,23,0.0,6.87,2.48,99.27,2.79
2024,1,3,0,0.0,6.85,2.28,99.33,2.47
2024,1,3,1,0.0,7.03,2.03,99.4,2.12
2024,1,3,2,0.12,8.31,1.65,99.45,1.79
2024,1,3,3,0.3,11.22,1.59,99.51,1.3
2024,1,3,4,0.44,13.8,1.13,99.55,0.88
2024,1,3,5,0.55,18.07,1.61,99.49,1.31
2024,1,3,6,0.5,19.95,1.55,99.38,1.24
2024,1,3,7,0.49,20.98,1.38,99.25,1.12
2024,1,3,8,0.68,21.48,1.12,99.14,0.92
2024,1,3,9,0.5,21.28,0.71,99.07,0.59
2024,1,3,10,0.32,20.4,0.25,99.05,0.2
2024,1,3,11,0.09,18.6,0.55,99.06,0.51
2024,1,3,12,0.0,16.46,1.12,99.11,1.09
2024,1,3,13,0.0,15.05,1.69,99.17,1.71
2024,1,3,14,0.0,13.74,1.99,99.19,2.06
2024,1,3,15,0.0,12.35,2.29,99.22,2.45
2024,1,3,16,0.0,11.18,2.46,99.24,2.72
2024,1,3,17,0.0,10.22,2.54,99.23,2.86
2024,1,3,18,0.0,9.5,2.51,99.21,2.83
2024,1,3,19,0.0,8.91,2.46,99.21,2.79
2024,1,3,20,0.0,8.21,2.55,99.21,2.99
2024,1,3,21,0.0,7.67,2.71,99.21,3.38
2024,1,3,22,0.0,7.29,2.75,99.22,3.67
2024,1,3,23,0.0,7.06,2.72,99.26,3.82
2024,1,4,0,0.0,6.8,2.61,99.34,3.68
2024,1,4,1,0.0,6.76,2.38,99.4,3.17
2024,1,4,2,0.09,8.53,2.12,99.46,2.53
2024,1,4,3,0.19,10.26,2.03,99.53,1.56
2024,1,4,4,0.23,12.5,1.05,99.58,0.81
2024,1,4,5,0.26,16.21,0.89,99.56,0.78
