-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 03/31/2024 in UTC
Location: Latitude  34.1526   Longitude 77.577 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4532.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/hr) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                    MERRA-2 Surface Pressure (kPa) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Rough glacial snow/ice (vegtype_20) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC
2024,1,1,0,0.0,-16.34,1.65,58.4,1.2
2024,1,1,1,0.0,-16.96,1.7,58.43,1.22
2024,1,1,2,0.25,-16.6,1.63,58.46,1.21
2024,1,1,3,0.93,-14.07,1.88,58.48,1.09
2024,1,1,4,1.51,-10.37,1.8,58.52,1.15
2024,1,1,5,1.92,-8.41,2.13,58.5,1.29
2024,1,1,6,2.08,-7.43,2.2,58.45,1.34
2024,1,1,7,2.06,-6.77,2.37,58.38,1.43
2024,1,1,8,1.82,-6.46,2.58,58.33,1.55
2024,1,1,9,1.37,-6.59,2.62,58.3,1.58
2024,1,1,10,0.75,-7.27,2.48,58.29,1.52
2024,1,1,11,0.12,-8.74,1.83,58.28,1.3
2024,1,1,12,0.0,-10.06,1.26,58.31,0.98
2024,1,1,13,0.0,-10.55,1.03,58.34,0.77
2024,1,1,14,0.0,-11.05,0.81,58.37,0.6
2024,1,1,15,0.0,-11.64,0.69,58.39,0.52
2024,1,1,16,0.0,-12.24,0.55,58.4,0.43
2024,1,1,17,0.0,-12.83,0.38,58.41,0.3
2024,1,1,18,0.0,-13.44,0.17,58.41,0.16
2024,1,1,19,0.0,-14.1,0.13,58.39,0.08
2024,1,1,20,0.0,-14.77,0.46,58.38,0.3
2024,1,1,21,0.0,-15.41,0.64,58.37,0.42
2024,1,1,22,0.0,-16.06,0.8,58.36,0.53
2024,1,1,23,0.0,-16.72,1.01,58.37,0.69
2024,1,2,0,0.0,-17.38,1.22,58.4,0.83
2024,1,2,1,0.0,-17.99,1.37,58.43,0.94
2024,1,2,2,0.25,-17.81,1.4,58.46,1.01
2024,1,2,3,0.96,-15.22,1.92,58.49,1.11
2024,1,2,4,1.58,-11.34,2.21,58.51,1.39
2024,1,2,5,2.04,-8.6,1.85,58.48,1.23
2024,1,2,6,2.27,-7.15,1.51,58.42,1.04
2024,1,2,7,2.2,-6.27,1.08,58.34,0.78
2024,1,2,8,1.94,-5.84,0.63,58.27,0.52
2024,1,2,9,1.45,-5.86,0.06,58.23,0.13
2024,1,2,10,0.81,-6.26,0.72,58.21,0.35
2024,1,2,11,0.15,-7.97,1.15,58.21,0.86
2024,1,2,12,0.0,-9.64,1.34,58.23,1.02
2024,1,2,13,0.0,-10.26,1.08,58.26,0.81
2024,1,2,14,0.0,-10.86,0.69,58.28,0.52
2024,1,2,15,0.0,-11.53,0.47,58.28,0.36
2024,1,2,16,0.0,-12.0,0.59,58.26,0.43
2024,1,2,17,0.0,-12.65,0.78,58.24,0.55
2024,1,2,18,0.0,-13.36,0.92,58.22,0.64
2024,1,2,19,0.0,-13.97,1.08,58.22,0.75
2024,1,2,20,0.0,-14.54,1.28,58.21,0.9
2024,1,2,21,0.0,-15.22,1.4,58.2,0.99
2024,1,2,22,0.0,-15.99,1.48,58.19,1.06
2024,1,2,23,0.0,-16.76,1.58,58.21,1.14
2024,1,3,0,0.0,-17.43,1.65,58.24,1.19
2024,1,3,1,0.0,-18.02,1.69,58.28,1.23
2024,1,3,2,0.23,-17.74,1.64,58.32,1.25
2024,1,3,3,0.89,-15.08,1.96,58.36,1.14
2024,1,3,4,1.49,-11.67,1.84,58.4,1.21
2024,1,3,5,1.9,-9.45,2.38,58.38,1.54
2024,1,3,6,2.17,-8.04,2.78,58.32,1.8
2024,1,3,7,2.15,-7.12,3.24,58.25,2.08
2024,1,3,8,1.86,-6.71,3.57,58.2,2.28
2024,1,3,9,1.38,-6.86,3.72,58.17,2.37
2024,1,3,10,0.71,-7.62,3.55,58.17,2.3
2024,1,3,11,0.1,-9.14,2.6,58.19,1.96
2024,1,3,12,0.0,-11.01,1.86,58.23,1.57
2024,1,3,13,0.0,-11.84,1.83,58.26,1.47
2024,1,3,14,0.0,-12.64,1.79,58.29,1.4
2024,1,3,15,0.0,-13.13,1.58,58.31,1.2
2024,1,3,16,0.0,-13.48,1.36,58.32,1.01
2024,1,3,17,0.0,-13.92,1.26,58.3,0.93
2024,1,3,18,0.0,-14.47,1.26,58.28,0.92
2024,1,3,19,0.0,-15.1,1.32,58.26,0.97
2024,1,3,20,0.0,-15.75,1.37,58.25,1.0
2024,1,3,21,0.0,-16.35,1.37,58.23,0.98
2024,1,3,22,0.0,-16.95,1.35,58.23,0.97
2024,1,3,23,0.0,-17.53,1.36,58.24,0.98
2024,1,4,0,0.0,-18.12,1.47,58.28,1.06
2024,1,4,1,0.0,-18.65,1.6,58.32,1.15
2024,1,4,2,0.17,-18.39,1.66,58.36,1.26
2024,1,4,3,0.83,-15.73,2.16,58.39,1.27
2024,1,4,4,1.4,-12.56,1.71,58.4,1.05
2024,1,4,5,1.84,-10.56,1.63,58.37,1.11
2024,1,4,6,1.98,-9.34,2.14,58.31,1.42
2024,1,4,7,1.98,-8.72,2.65,58.25,1.71
2024,1,4,8,1.6,-8.63,2.94,58.2,1.86
2024,1,4,9,1.16,-8.96,3.02,58.19,1.91
2024,1,4,10,0.6,-9.58,2.85,58.19,1.82
2024,1,4,11,0.1,-10.53,2.49,58.22,1.62
2024,1,4,12,0.0,-11.53,1.43,58.26,1.25
2024,1,4,13,0.0,-12.58,1.25,58.3,1.03
2024,1,4,14,0.0,-13.38,1.23,58.32,0.95
2024,1,4,15,0.0,-14.06,1.31,58.34,0.98
2024,1,4,16,0.0,-14.66,1.36,58.33,1.0
2024,1,4,17,0.0,-15.3,1.47,58.32,1.07
2024,1,4,18,0.0,-15.98,1.59,58.3,1.16
2024,1,4,19,0.0,-16.62,1.68,58.28,1.21
2024,1,4,20,0.0,-17.17,1.72,58.26,1.26
2024,1,4,21,0.0,-17.78,1.8,58.23,1.31
2024,1,4,22,0.0,-18.5,1.87,58.2,1.37
2024,1,4,23,0.0,-19.1,1.91,58.2,1.41
2024,1,5,0,0.0,-19.38,1.88,58.22,1.41
2024,1,5,1,0.0,-19.42,1.82,58.28,1.43
2024,1,5,2,0.17,-18.78,2.12,58.31,1.49
2024,1,5,3,0.77,-16.92,2.77,58.36,1.54
2024,1,5,4,1.3,-13.57,2.33,58.38,1.37
2024,1,5,5,1.74,-10.95,1.89,58.35,1.28
2024,1,5,6,1.98,-9.45,2.21,58.27,1.55
2024,1,5,7,1.98,-8.44,2.79,58.19,1.91
2024,1,5,8,1.76,-8.06,3.35,58.13,2.23
2024,1,5,9,1.24,-8.41,3.7,58.1,2.4
2024,1,5,10,0.65,-9.12,3.61,58.12,2.33
2024,1,5,11,0.11,-10.25,2.96,58.17,2.02
2024,1,5,12,0.0,-11.28,1.85,58.24,1.62
2024,1,5,13,0.0,-12.02,1.38,58.29,1.31
2024,1,5,14,0.0,-12.62,1.13,58.33,0.98
2024,1,5,15,0.0,-12.96,0.81,58.34,0.64
2024,1,5,16,0.0,-13.31,0.65,58.33,0.5
2024,1,5,17,0.0,-13.82,0.75,58.32,0.57
2024,1,5,18,0.0,-14.45,0.99,58.31,0.74
2024,1,5,19,0.0,-15.08,1.2,58.28,0.9
2024,1,5,20,0.0,-15.85,1.37,58.27,1.01
2024,1,5,21,0.0,-16.53,1.39,58.26,1.03
2024,1,5,22,0.0,-17.22,1.44,58.25,1.05
2024,1,5,23,0.0,-17.88,1.49,58.26,1.09
2024,1,6,0,0.0,-18.51,1.55,58.31,1.13
2024,1,6,1,0.0,-19.09,1.6,58.36,1.17
2024,1,6,2,0.22,-18.7,1.58,58.41,1.2
2024,1,6,3,0.88,-15.91,2.01,58.45,1.15
2024,1,6,4,1.5,-12.69,1.6,58.48,1.05
2024,1,6,5,1.92,-10.58,2.14,58.47,1.43
2024,1,6,6,2.09,-8.93,2.79,58.42,1.82
2024,1,6,7,2.09,-7.85,3.19,58.36,2.03
2024,1,6,8,1.9,-7.29,3.39,58.3,2.14
2024,1,6,9,1.43,-7.27,3.14,58.3,1.99
2024,1,6,10,0.81,-7.84,2.63,58.31,1.69
2024,1,6,11,0.16,-9.44,1.58,58.33,1.18
2024,1,6,12,0.0,-10.54,0.9,58.36,0.69
2024,1,6,13,0.0,-11.12,0.77,58.4,0.57
2024,1,6,14,0.0,-11.75,0.8,58.43,0.59
2024,1,6,15,0.0,-12.38,0.86,58.46,0.63
2024,1,6,16,0.0,-13.01,0.93,58.45,0.67
2024,1,6,17,0.0,-13.7,1.09,58.45,0.78
2024,1,6,18,0.0,-14.45,1.27,58.44,0.92
2024,1,6,19,0.0,-15.23,1.42,58.41,1.01
2024,1,6,20,0.0,-15.94,1.49,58.4,1.07
2024,1,6,21,0.0,-16.69,1.54,58.39,1.1
2024,1,6,22,0.0,-17.52,1.64,58.39,1.17
2024,1,6,23,0.0,-18.3,1.75,58.4,1.25
2024,1,7,0,0.0,-19.03,1.86,58.42,1.34
2024,1,7,1,0.0,-19.67,1.95,58.46,1.4
2024,1,7,2,0.26,-19.15,1.86,58.5,1.41
2024,1,7,3,0.97,-16.23,2.27,58.56,1.33
2024,1,7,4,1.58,-12.57,1.82,58.57,1.1
2024,1,7,5,2.03,-9.38,1.87,58.55,1.29
2024,1,7,6,2.25,-7.49,2.7,58.5,1.78
2024,1,7,7,2.2,-6.25,3.34,58.44,2.16
2024,1,7,8,1.94,-5.65,3.74,58.4,2.39
2024,1,7,9,1.46,-5.65,3.81,58.38,2.45
2024,1,7,10,0.82,-6.41,3.4,58.38,2.2
2024,1,7,11,0.15,-8.63,1.95,58.38,1.56
2024,1,7,12,0.0,-10.04,1.43,58.41,1.1
2024,1,7,13,0.0,-10.79,1.42,58.43,1.07
2024,1,7,14,0.0,-11.64,1.52,58.46,1.14
2024,1,7,15,0.0,-12.56,1.67,58.47,1.22
2024,1,7,16,0.0,-13.44,1.8,58.46,1.3
2024,1,7,17,0.0,-14.25,1.87,58.46,1.34
2024,1,7,18,0.0,-15.06,1.93,58.44,1.38
2024,1,7,19,0.0,-15.88,2.02,58.42,1.44
2024,1,7,20,0.0,-16.66,2.12,58.41,1.51
2024,1,7,21,0.0,-17.38,2.18,58.39,1.55
2024,1,7,22,0.0,-18.03,2.2,58.38,1.56
2024,1,7,23,0.0,-18.61,2.18,58.37,1.54
2024,1,8,0,0.0,-19.11,2.17,58.39,1.54
2024,1,8,1,0.0,-19.55,2.18,58.43,1.55
2024,1,8,2,0.2,-18.99,2.08,58.48,1.57
2024,1,8,3,0.83,-16.16,2.62,58.51,1.49
2024,1,8,4,1.37,-13.07,2.57,58.52,1.45
2024,1,8,5,1.75,-7.94,2.98,58.47,2.11
2024,1,8,6,2.06,-5.88,3.95,58.4,2.7
2024,1,8,7,2.04,-5.0,4.83,58.31,3.25
2024,1,8,8,1.74,-4.75,5.53,58.25,3.63
