-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2024 through 09/30/2024 in UTC
Location: Latitude  13.0827   Longitude 80.2707 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/hr) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                    MERRA-2 Surface Pressure (kPa) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Crop: 20-m broadleaf-deciduous trees (10%) & wheat (vegtype_12) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC
2024,7,1,0,0.01,26.32,3.92,100.17,3.54
2024,7,1,1,0.15,27.03,4.61,100.25,3.5
2024,7,1,2,0.36,28.08,5.34,100.32,3.75
2024,7,1,3,0.57,29.45,6.09,100.36,4.21
2024,7,1,4,0.97,30.74,6.62,100.35,4.54
2024,7,1,5,1.2,31.8,6.85,100.3,4.71
2024,7,1,6,1.56,32.54,6.93,100.22,4.82
2024,7,1,7,1.59,32.99,6.87,100.12,4.85
2024,7,1,8,1.76,33.27,6.71,100.02,4.83
2024,7,1,9,1.56,33.32,6.34,99.95,4.67
2024,7,1,10,0.91,33.0,5.85,99.92,4.44
2024,7,1,11,0.43,32.17,5.25,99.95,4.19
2024,7,1,12,0.11,30.56,4.47,100.03,4.22
2024,7,1,13,0.0,29.15,4.54,100.11,4.44
2024,7,1,14,0.0,28.53,4.86,100.21,4.52
2024,7,1,15,0.0,28.02,5.09,100.27,4.58
2024,7,1,16,0.0,27.59,5.25,100.3,4.64
2024,7,1,17,0.0,27.21,5.24,100.3,4.59
2024,7,1,18,0.0,26.88,5.24,100.24,4.6
2024,7,1,19,0.0,26.56,5.01,100.17,4.46
2024,7,1,20,0.0,26.26,4.6,100.1,4.22
2024,7,1,21,0.0,25.96,4.14,100.04,3.94
2024,7,1,22,0.0,25.68,3.76,100.02,3.67
2024,7,1,23,0.0,25.43,3.53,100.03,3.5
2024,7,2,0,0.05,25.44,3.5,100.04,3.35
2024,7,2,1,0.48,26.73,4.38,100.07,3.11
2024,7,2,2,1.09,28.59,4.94,100.11,3.45
2024,7,2,3,1.73,30.8,5.43,100.13,3.8
2024,7,2,4,2.34,32.96,5.71,100.12,4.06
2024,7,2,5,2.78,34.63,5.39,100.06,4.06
2024,7,2,6,3.0,35.79,5.08,99.98,3.91
2024,7,2,7,3.04,36.49,4.85,99.88,3.7
2024,7,2,8,2.77,36.72,4.54,99.79,3.44
2024,7,2,9,1.99,36.35,4.51,99.72,3.5
2024,7,2,10,1.37,35.6,4.48,99.66,3.66
2024,7,2,11,0.73,34.0,4.17,99.67,3.72
