-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 04/01/2024 through 06/30/2024 in UTC
Location: Latitude  28.6139   Longitude 77.209 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/hr) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                    MERRA-2 Surface Pressure (kPa) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Rough bare soil (vegtype_11) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC
2024,4,1,0,0.0,20.09,3.99,98.51,5.6
2024,4,1,1,0.38,21.94,5.0,98.54,4.73
2024,4,1,2,1.05,25.46,4.79,98.59,4.11
2024,4,1,3,1.79,29.81,5.86,98.61,4.95
2024,4,1,4,2.15,31.54,6.16,98.6,5.11
2024,4,1,5,2.67,32.8,6.63,98.54,5.48
2024,4,1,6,2.8,33.65,7.03,98.46,5.83
2024,4,1,7,2.94,34.17,7.68,98.38,6.38
2024,4,1,8,2.19,33.37,8.23,98.32,6.92
2024,4,1,9,2.18,31.79,7.99,98.29,6.87
2024,4,1,10,1.53,30.65,7.3,98.27,6.39
2024,4,1,11,0.84,29.86,6.61,98.28,5.92
2024,4,1,12,0.22,28.24,4.83,98.31,5.38
2024,4,1,13,0.0,24.61,3.37,98.36,5.4
2024,4,1,14,0.0,23.5,3.39,98.42,5.42
2024,4,1,15,0.0,22.76,3.42,98.47,5.46
2024,4,1,16,0.0,22.32,3.51,98.48,5.61
2024,4,1,17,0.0,21.98,3.64,98.46,5.76
2024,4,1,18,0.0,21.7,3.83,98.43,5.91
2024,4,1,19,0.0,21.28,3.98,98.38,5.95
2024,4,1,20,0.0,20.68,3.88,98.33,5.78
2024,4,1,21,0.0,20.41,3.62,98.27,5.35
2024,4,1,22,0.0,19.62,3.03,98.24,4.8
2024,4,1,23,0.0,18.4,2.86,98.24,4.44
2024,4,2,0,0.0,17.82,2.89,98.28,4.36
2024,4,2,1,0.39,20.68,3.67,98.35,4.04
2024,4,2,2,1.12,24.12,3.82,98.43,3.07
2024,4,2,3,1.92,29.18,4.98,98.5,4.47
2024,4,2,4,2.62,32.18,6.36,98.52,5.31
2024,4,2,5,3.11,33.66,6.27,98.5,5.18
2024,4,2,6,3.43,34.84,6.29,98.44,5.18
2024,4,2,7,3.4,35.6,6.04,98.34,4.96
2024,4,2,8,2.94,35.91,6.23,98.25,5.14
2024,4,2,9,2.3,35.52,6.37,98.18,5.31
2024,4,2,10,1.49,34.97,6.42,98.14,5.42
2024,4,2,11,0.83,33.67,6.01,98.13,5.26
2024,4,2,12,0.23,30.52,3.75,98.17,4.99
2024,4,2,13,0.0,26.98,3.13,98.21,4.76
2024,4,2,14,0.0,25.44,3.29,98.3,4.87
2024,4,2,15,0.0,24.38,3.25,98.36,4.7
2024,4,2,16,0.0,23.21,3.19,98.4,4.39
2024,4,2,17,0.0,22.48,3.12,98.41,4.35
2024,4,2,18,0.0,21.98,2.98,98.4,4.27
2024,4,2,19,0.0,21.69,2.83,98.37,4.27
2024,4,2,20,0.0,21.13,2.75,98.35,4.22
2024,4,2,21,0.0,20.41,2.65,98.33,3.88
2024,4,2,22,0.0,19.78,2.46,98.32,3.2
2024,4,2,23,0.0,19.85,1.92,98.35,2.19
2024,4,3,0,0.01,20.88,1.05,98.39,1.07
2024,4,3,1,0.33,22.11,0.28,98.46,0.22
2024,4,3,2,0.92,24.01,1.26,98.53,0.95
2024,4,3,3,1.58,28.54,1.34,98.59,0.91
2024,4,3,4,2.14,34.23,1.21,98.62,0.95
2024,4,3,5,2.63,36.04,1.54,98.6,1.2
2024,4,3,6,2.96,37.21,1.87,98.55,1.46
2024,4,3,7,2.83,37.83,1.94,98.46,1.51
2024,4,3,8,2.57,37.55,2.03,98.37,1.58
2024,4,3,9,2.09,37.23,1.91,98.29,1.49
2024,4,3,10,1.43,36.33,1.69,98.24,1.35
2024,4,3,11,0.75,35.11,1.33,98.24,1.09
2024,4,3,12,0.2,33.1,0.66,98.26,0.7
2024,4,3,13,0.0,32.17,0.37,98.3,0.38
2024,4,3,14,0.0,31.09,0.79,98.36,0.76
2024,4,3,15,0.0,29.71,1.24,98.42,1.25
2024,4,3,16,0.0,28.56,1.71,98.45,1.8
2024,4,3,17,0.0,27.3,2.07,98.44,2.31
2024,4,3,18,0.0,26.02,2.45,98.4,2.94
2024,4,3,19,0.0,25.2,2.64,98.36,3.4
2024,4,3,20,0.0,24.59,2.68,98.32,3.63
