-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 10/01/2024 through 12/31/2024 in UTC
Location: Latitude  26.9124   Longitude 75.7873 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 405.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/hr) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                    MERRA-2 Surface Pressure (kPa) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Rough bare soil (vegtype_11) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC
2024,10,1,0,0.0,23.2,2.61,96.03,3.57
2024,10,1,1,0.18,23.5,3.09,96.1,3.61
2024,10,1,2,0.72,24.47,3.61,96.18,3.24
2024,10,1,3,1.43,25.61,3.35,96.24,2.72
2024,10,1,4,2.08,27.55,3.21,96.25,2.57
2024,10,1,5,2.56,30.09,3.51,96.23,2.92
2024,10,1,6,2.91,31.57,3.81,96.17,3.26
2024,10,1,7,2.91,32.31,4.08,96.07,3.56
2024,10,1,8,2.67,32.65,4.14,95.98,3.67
2024,10,1,9,2.02,32.79,3.88,95.9,3.59
2024,10,1,10,1.26,32.62,3.25,95.86,3.47
2024,10,1,11,0.52,31.8,3.14,95.86,3.26
2024,10,1,12,0.05,29.57,2.09,95.86,2.44
2024,10,1,13,0.0,28.46,1.98,95.89,2.21
2024,10,1,14,0.0,27.4,2.2,95.96,2.55
2024,10,1,15,0.0,26.29,2.55,96.0,3.17
2024,10,1,16,0.0,25.43,2.81,96.02,3.81
2024,10,1,17,0.0,24.77,2.95,96.02,4.32
2024,10,1,18,0.0,24.18,3.08,96.02,4.7
2024,10,1,19,0.0,23.65,3.27,96.01,5.02
2024,10,1,20,0.0,23.18,3.6,96.0,5.31
2024,10,1,21,0.0,22.82,4.26,95.99,5.68
2024,10,1,22,0.0,22.49,4.92,96.0,5.94
2024,10,1,23,0.0,22.17,5.23,96.03,6.01
2024,10,2,0,0.0,21.93,5.38,96.08,6.03
2024,10,2,1,0.19,22.1,5.74,96.15,5.94
2024,10,2,2,0.78,23.55,6.21,96.23,5.53
2024,10,2,3,1.51,25.8,5.97,96.27,5.12
2024,10,2,4,2.18,28.07,5.96,96.26,5.12
2024,10,2,5,2.67,29.68,6.31,96.23,5.47
2024,10,2,6,2.96,30.82,6.35,96.17,5.52
2024,10,2,7,2.98,31.64,5.9,96.08,5.21
2024,10,2,8,2.76,32.24,5.22,96.0,4.71
2024,10,2,9,2.1,32.46,4.46,95.93,4.14
2024,10,2,10,1.32,32.35,3.5,95.88,3.68
2024,10,2,11,0.55,31.55,3.17,95.87,3.29
2024,10,2,12,0.05,28.98,2.22,95.88,2.69
2024,10,2,13,0.0,26.95,2.72,95.91,3.53
2024,10,2,14,0.0,25.93,3.21,95.97,4.72
2024,10,2,15,0.0,25.25,3.7,96.03,5.68
2024,10,2,16,0.0,24.68,4.28,96.05,6.2
2024,10,2,17,0.0,24.07,4.83,96.03,6.33
2024,10,2,18,0.0,23.5,5.27,96.01,6.33
2024,10,2,19,0.0,23.0,5.57,95.98,6.32
2024,10,2,20,0.0,22.64,5.78,95.95,6.37
2024,10,2,21,0.0,22.48,5.99,95.93,6.5
2024,10,2,22,0.0,22.47,6.11,95.93,6.6
2024,10,2,23,0.0,22.46,6.13,95.96,6.62
2024,10,3,0,0.0,22.33,5.86,96.01,6.37
2024,10,3,1,0.21,22.59,6.02,96.08,6.15
2024,10,3,2,0.81,24.06,6.57,96.16,5.89
2024,10,3,3,1.54,26.23,6.59,96.2,5.67
2024,10,3,4,2.19,28.15,6.62,96.2,5.71
2024,10,3,5,2.66,29.56,6.85,96.17,5.87
2024,10,3,6,2.99,30.7,6.7,96.09,5.71
2024,10,3,7,3.07,31.49,6.34,96.0,5.43
2024,10,3,8,2.61,31.88,5.88,95.91,5.1
2024,10,3,9,1.99,31.97,5.1,95.83,4.6
2024,10,3,10,1.26,31.72,4.21,95.8,4.11
2024,10,3,11,0.53,30.66,3.48,95.81,3.79
2024,10,3,12,0.04,28.1,2.62,95.82,3.55
2024,10,3,13,0.0,26.29,2.91,95.86,4.13
2024,10,3,14,0.0,25.68,3.15,95.92,4.77
2024,10,3,15,0.0,25.21,3.48,95.96,5.38
2024,10,3,16,0.0,24.75,3.88,95.96,5.82
2024,10,3,17,0.0,24.23,4.2,95.95,5.94
2024,10,3,18,0.0,23.68,4.4,95.93,5.87
2024,10,3,19,0.0,23.15,4.51,95.9,5.69
2024,10,3,20,0.0,22.67,4.56,95.88,5.49
2024,10,3,21,0.0,22.3,4.65,95.86,5.33
2024,10,3,22,0.0,22.05,4.62,95.87,5.17
2024,10,3,23,0.0,21.88,4.49,95.9,5.0
2024,10,4,0,0.0,21.69,4.29,95.97,4.84
2024,10,4,1,0.21,21.85,4.52,96.05,4.59
2024,10,4,2,0.91,23.19,4.59,96.14,3.85
2024,10,4,3,1.74,25.25,4.62,96.21,3.82
2024,10,4,4,2.47,27.27,4.88,96.22,4.04
2024,10,4,5,2.91,28.96,4.96,96.22,4.08
2024,10,4,6,3.13,30.33,4.7,96.17,3.85
2024,10,4,7,3.07,31.28,4.33,96.09,3.54
2024,10,4,8,2.6,31.8,3.89,96.01,3.21
2024,10,4,9,1.98,31.91,3.23,95.94,2.71
2024,10,4,10,1.24,31.68,2.49,95.92,2.21
2024,10,4,11,0.51,30.92,2.0,95.93,1.97
2024,10,4,12,0.04,28.66,1.79,95.96,2.01
2024,10,4,13,0.0,26.78,2.17,96.02,2.53
2024,10,4,14,0.0,25.64,2.55,96.08,3.19
2024,10,4,15,0.0,24.81,2.81,96.12,3.8
2024,10,4,16,0.0,24.18,2.94,96.13,4.26
2024,10,4,17,0.0,23.64,2.98,96.11,4.51
2024,10,4,18,0.0,23.1,2.99,96.1,4.59
2024,10,4,19,0.0,22.57,2.97,96.1,4.57
2024,10,4,20,0.0,22.04,2.98,96.08,4.56
2024,10,4,21,0.0,21.55,3.05,96.08,4.61
2024,10,4,22,0.0,21.16,3.21,96.09,4.73
2024,10,4,23,0.0,20.79,3.34,96.12,4.81
2024,10,5,0,0.0,20.45,3.44,96.18,4.84
2024,10,5,1,0.22,20.86,3.99,96.25,4.64
2024,10,5,2,0.94,22.52,4.47,96.33,3.72
