-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 04/01/2024 through 06/30/2024 in UTC
Location: Latitude  34.1526   Longitude 77.577 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4532.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/hr) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                    MERRA-2 Surface Pressure (kPa) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Rough glacial snow/ice (vegtype_20) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC
2024,4,1,0,0.02,-24.33,2.84,58.43,2.0
2024,4,1,1,0.51,-24.08,2.82,58.45,2.03
2024,4,1,2,1.0,-20.1,2.92,58.47,1.97
2024,4,1,3,1.67,-15.48,3.17,58.47,1.72
2024,4,1,4,2.1,-10.98,2.27,58.44,1.34
2024,4,1,5,2.53,-6.29,2.64,58.41,1.79
2024,4,1,6,3.21,-5.01,3.56,58.38,2.32
2024,4,1,7,2.51,-4.53,4.15,58.36,2.67
2024,4,1,8,3.17,-4.23,4.29,58.33,2.74
2024,4,1,9,2.01,-3.88,4.12,58.3,2.65
2024,4,1,10,1.22,-3.68,3.79,58.29,2.44
2024,4,1,11,0.76,-4.05,3.06,58.29,2.08
2024,4,1,12,0.34,-5.68,1.69,58.31,1.52
2024,4,1,13,0.0,-7.01,1.74,58.33,1.35
2024,4,1,14,0.0,-7.84,1.73,58.38,1.31
2024,4,1,15,0.0,-8.6,1.68,58.4,1.26
2024,4,1,16,0.0,-9.87,1.8,58.41,1.32
2024,4,1,17,0.0,-11.37,1.88,58.4,1.35
2024,4,1,18,0.0,-12.95,1.97,58.36,1.38
2024,4,1,19,0.0,-14.58,2.07,58.33,1.46
2024,4,1,20,0.0,-16.28,2.19,58.3,1.53
2024,4,1,21,0.0,-18.02,2.39,58.28,1.68
2024,4,1,22,0.0,-19.55,2.57,58.28,1.8
2024,4,1,23,0.0,-20.81,2.69,58.3,1.89
2024,4,2,0,0.02,-21.65,2.68,58.34,1.89
2024,4,2,1,0.57,-21.76,2.77,58.38,1.99
2024,4,2,2,1.26,-18.46,2.79,58.4,1.93
2024,4,2,3,2.29,-14.27,2.99,58.43,1.66
2024,4,2,4,2.98,-9.69,2.12,58.44,1.28
2024,4,2,5,3.24,-5.47,2.37,58.43,1.58
2024,4,2,6,3.38,-4.43,2.95,58.41,1.91
2024,4,2,7,2.94,-3.92,3.47,58.38,2.24
2024,4,2,8,3.28,-3.51,3.97,58.34,2.56
2024,4,2,9,2.35,-3.23,4.05,58.3,2.61
2024,4,2,10,1.62,-3.34,3.86,58.28,2.48
2024,4,2,11,0.95,-3.88,3.3,58.28,2.22
2024,4,2,12,0.28,-5.71,1.82,58.29,1.69
2024,4,2,13,0.0,-7.13,1.79,58.31,1.39
2024,4,2,14,0.0,-8.02,1.72,58.35,1.29
2024,4,2,15,0.0,-9.18,1.95,58.37,1.44
2024,4,2,16,0.0,-10.41,2.17,58.37,1.59
2024,4,2,17,0.0,-11.51,2.35,58.36,1.71
2024,4,2,18,0.0,-12.49,2.53,58.35,1.88
2024,4,2,19,0.0,-13.17,2.59,58.35,1.92
2024,4,2,20,0.0,-13.81,2.59,58.34,1.93
2024,4,2,21,0.0,-14.52,2.55,58.32,1.9
2024,4,2,22,0.0,-15.22,2.48,58.33,1.83
2024,4,2,23,0.0,-15.96,2.48,58.34,1.8
2024,4,3,0,0.02,-16.66,2.48,58.37,1.78
2024,4,3,1,0.38,-16.77,2.45,58.4,1.79
2024,4,3,2,0.56,-14.11,2.8,58.45,1.82
2024,4,3,3,1.13,-10.44,3.37,58.48,2.0
2024,4,3,4,2.31,-6.97,3.92,58.5,2.5
2024,4,3,5,2.45,-5.5,4.53,58.5,2.93
2024,4,3,6,2.66,-4.86,4.91,58.48,3.2
2024,4,3,7,2.86,-4.32,5.61,58.44,3.69
2024,4,3,8,2.25,-4.16,6.56,58.4,4.29
2024,4,3,9,1.86,-4.16,6.67,58.38,4.37
2024,4,3,10,1.27,-4.36,6.22,58.38,4.1
2024,4,3,11,0.71,-4.94,5.32,58.38,3.83
2024,4,3,12,0.2,-6.42,3.59,58.4,3.62
2024,4,3,13,0.0,-9.15,3.34,58.44,3.2
2024,4,3,14,0.0,-10.66,3.13,58.48,2.66
2024,4,3,15,0.0,-11.28,2.89,58.52,2.28
2024,4,3,16,0.0,-12.19,2.79,58.53,2.13
2024,4,3,17,0.0,-13.44,2.85,58.53,2.11
2024,4,3,18,0.0,-14.38,2.77,58.53,2.03
2024,4,3,19,0.0,-15.13,2.58,58.51,1.84
2024,4,3,20,0.0,-16.2,2.55,58.5,1.76
2024,4,3,21,0.0,-17.49,2.64,58.47,1.81
2024,4,3,22,0.0,-18.85,2.74,58.46,1.88
2024,4,3,23,0.0,-20.12,2.78,58.47,1.93
2024,4,4,0,0.02,-21.25,2.77,58.49,1.92
