YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC
2024,10,1,3,2.341779574254742,29.94798348142566,3.472895246246716,93.53409877788154,2.02353318810976
2024,10,1,5,2.5170041792503395,31.098680602482744,3.393535170945521,96.28779224308,1.8671645321130743
2024,10,1,6,3.354014474212248,32.19171755458793,3.278641943471868,93.97356756529665,2.014134575960449
2024,10,1,8,2.8719759727929084,33.08260617649603,3.032466027680095,105.92597659012728,2.0184868090049912
2024,10,1,9,2.109746629363892,31.760887264924083,3.4262255196785887,102.6901603394664,1.951156455327861
2024,10,1,10,1.303027414449429,32.59800558426452,3.410383183819444,93.33675114732954,2.1523528365981734
2024,10,1,12,0.02909227883580353,29.605538718293058,3.9352250904782955,101.7729467732563,3.1828165779253186
2024,10,1,13,0.0,27.595700820765863,4.147844193499862,94.35956097359896,3.949813400992155
2024,10,1,15,0.0,26.85897304154768,4.210955018872638,94.30813370225574,4.121095115449909
2024,10,1,16,0.0,27.191596848873047,4.3295944493622,102.31657583652036,3.9032287250298925
2024,10,1,17,0.0,26.742615429288126,3.9732023173247435,103.67592757821649,3.2602260283664317
2024,10,1,18,0.0,26.7249916099701,3.954700754760971,97.2245055694074,3.887181337860431
2024,10,1,21,0.0,26.591030169256317,3.7229442428225386,105.39447340168842,3.49091672279964
2024,10,1,23,0.0,25.248849622566667,3.390538862917974,106.94710393854692,3.6555284741852305
2024,10,2,2,1.5268597219205768,28.53488922942493,5.167600343620996,108.8143550731047,3.799017800334959
2024,10,2,3,1.9962173736232343,30.21625277084508,5.125437292869185,103.03380451589099,3.829373424315644
2024,10,2,4,2.8976746624911303,29.905856464183078,5.193151070461331,94.83474008696366,3.683256193752798
2024,10,2,6,3.1764578039873657,32.63692720073895,5.286348051680082,105.22122234422015,3.557112367926564
2024,10,2,8,2.494147571768716,33.32033518084383,3.2002123554907964,92.1845638999948,2.3540539922066426
2024,10,2,9,2.008450504478511,33.68399955499328,2.9167175662529985,93.59620994031732,2.392249940558919
2024,10,2,10,1.4622607196855117,33.75055743299025,3.1181260791023666,106.62376581811986,2.2258151026302397
2024,10,2,11,0.5536301127650384,32.25513860264102,3.1021038169457973,108.22741050849564,2.696788832573733
2024,10,2,12,0.021087645028067606,30.238191236968607,3.325972283834013,91.41654222834912,2.857636412596145
2024,10,2,17,0.0,28.447676821032417,5.10213636503807,96.54078215138239,4.5757517588239285
2024,10,2,18,0.0,27.921506281227746,4.893021157102121,102.84000951259829,4.360677977021945
2024,10,2,19,0.0,27.04168898795968,5.140931410792064,108.9687461173682,4.510908784631478
2024,10,2,20,0.0,26.772645455439623,4.91047495099564,101.51592332023833,4.135955475233274
2024,10,2,21,0.0,25.99972248401482,5.048257280216111,106.4624189862458,4.36514390459562
2024,10,2,22,0.0,25.838358255240447,5.958792566949997,108.46594788968817,4.201823415037338
2024,10,2,23,0.0,25.600165153521658,5.521486018533748,100.45112432545342,4.889086622169393
2024,10,3,0,0.02790356160316784,26.222670217298713,4.775696829163071,105.03957117277494,3.7806219081469092
2024,10,3,2,1.140134520717445,27.411286203591988,3.9864520609164855,103.68190093758997,3.2410034144776305
2024,10,3,3,1.9670192773322333,29.688977338706685,3.6811289906174123,103.88232444566437,2.567456038296772
2024,10,3,4,2.7862395167928944,31.191433318181303,3.4577902319311877,100.73266454019881,2.194343580901056
2024,10,3,6,2.667572264985079,32.51127261763401,1.9528630885336875,102.62777527758323,1.445624058420135
2024,10,3,7,2.6669517653305026,32.31116390696582,1.8719912475724025,101.12792511883181,1.366520307698739
2024,10,3,9,1.1692114610438735,32.56093161959287,1.1413416516190926,102.65210537880384,1.0434048498876218
2024,10,3,10,0.7180450563235519,33.30479575217293,1.263580345621261,100.01386223529514,1.0451569781529697
2024,10,3,11,0.2718905764468264,32.00186000135717,1.1218075598711015,94.40271532625977,0.8584830449382658
2024,10,3,12,0.020815294559544673,30.92891059477191,0.8237942335103943,103.89314347951007,0.7053996378264324
2024,10,3,13,0.0,29.486262952893114,0.6255353942016434,97.78808237027035,0.5830884967608312
2024,10,3,14,0.0,30.32177833952417,0.6219308820798584,92.73068446121819,0.6453972748579996
