-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2024 through 09/30/2024 in UTC
Location: Latitude  26.9124   Longitude 75.7873 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 405.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/hr) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                    MERRA-2 Surface Pressure (kPa) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Rough bare soil (vegtype_11) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC
2024,7,1,0,0.04,27.56,4.85,95.14,4.43
2024,7,1,1,0.29,28.25,5.86,95.19,4.99
2024,7,1,2,0.68,29.64,5.93,95.22,4.81
2024,7,1,3,1.07,31.23,5.28,95.22,4.19
2024,7,1,4,1.57,32.81,4.62,95.22,3.62
2024,7,1,5,1.95,33.97,4.13,95.19,3.23
2024,7,1,6,1.97,34.77,4.0,95.12,3.12
2024,7,1,7,1.57,35.61,4.27,95.05,3.33
2024,7,1,8,1.51,35.94,4.65,94.98,3.69
2024,7,1,9,1.82,35.79,4.89,94.91,3.94
2024,7,1,10,1.41,35.37,5.19,94.88,4.26
2024,7,1,11,0.88,34.64,5.34,94.88,4.48
2024,7,1,12,0.41,33.67,4.64,94.91,4.19
2024,7,1,13,0.08,32.26,2.71,94.94,3.36
2024,7,1,14,0.0,31.34,1.91,94.97,2.62
2024,7,1,15,0.0,30.86,1.82,95.0,2.53
2024,7,1,16,0.0,30.42,2.26,95.02,3.17
2024,7,1,17,0.0,29.99,3.3,95.01,4.07
2024,7,1,18,0.0,29.48,4.49,94.98,4.81
2024,7,1,19,0.0,28.89,5.4,94.96,5.43
2024,7,1,20,0.0,28.34,5.82,94.92,5.52
2024,7,1,21,0.0,27.86,5.6,94.91,5.28
2024,7,1,22,0.0,27.67,5.99,94.92,5.8
2024,7,1,23,0.0,27.44,5.9,94.98,5.62
2024,7,2,0,0.07,27.35,5.47,95.04,5.08
