-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 03/31/2024 in UTC
Location: Latitude  13.0827   Longitude 80.2707 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/hr) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                    MERRA-2 Surface Pressure (kPa) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Crop: 20-m broadleaf-deciduous trees (10%) & wheat (vegtype_12) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC
2024,1,1,0,0.0,22.04,3.06,100.88,2.89
2024,1,1,1,0.14,22.59,2.96,100.96,2.84
2024,1,1,2,0.71,24.18,3.44,101.04,2.48
2024,1,1,3,1.38,25.54,3.37,101.11,2.28
2024,1,1,4,2.01,26.31,3.35,101.11,2.21
2024,1,1,5,2.39,26.9,3.48,101.06,2.26
2024,1,1,6,2.48,27.41,3.75,100.96,2.43
2024,1,1,7,2.4,27.64,4.04,100.85,2.61
2024,1,1,8,2.08,27.61,4.31,100.73,2.78
2024,1,1,9,1.75,27.29,4.62,100.67,3.04
2024,1,1,10,1.05,26.71,4.73,100.65,3.29
2024,1,1,11,0.35,25.7,4.24,100.7,3.5
2024,1,1,12,0.01,24.28,3.72,100.77,3.7
2024,1,1,13,0.0,23.77,3.77,100.88,3.81
2024,1,1,14,0.0,23.44,3.76,100.97,3.82
2024,1,1,15,0.0,23.1,3.72,101.03,3.79
2024,1,1,16,0.0,22.81,3.69,101.02,3.76
2024,1,1,17,0.0,22.53,3.66,100.96,3.7
2024,1,1,18,0.0,22.29,3.64,100.9,3.62
2024,1,1,19,0.0,22.08,3.61,100.82,3.5
2024,1,1,20,0.0,21.89,3.55,100.74,3.33
2024,1,1,21,0.0,21.8,3.44,100.69,3.14
2024,1,1,22,0.0,21.67,3.35,100.68,3.0
2024,1,1,23,0.0,21.57,3.28,100.72,2.9
2024,1,2,0,0.0,21.47,3.22,100.78,2.83
2024,1,2,1,0.11,22.25,3.04,100.87,2.83
2024,1,2,2,0.54,24.28,3.74,100.94,2.7
2024,1,2,3,1.07,25.64,4.35,100.99,3.01
2024,1,2,4,1.68,26.45,4.63,100.98,3.12
2024,1,2,5,2.14,27.06,4.72,100.93,3.14
2024,1,2,6,2.27,27.38,4.68,100.84,3.09
2024,1,2,7,2.06,27.54,4.65,100.74,3.07
2024,1,2,8,1.78,27.48,4.7,100.65,3.11
2024,1,2,9,1.43,27.14,4.83,100.62,3.27
2024,1,2,10,0.82,26.58,4.85,100.63,3.45
2024,1,2,11,0.26,25.53,4.18,100.68,3.6
2024,1,2,12,0.01,24.35,3.83,100.75,3.81
2024,1,2,13,0.0,23.97,3.92,100.84,3.92
2024,1,2,14,0.0,23.77,3.89,100.92,3.9
2024,1,2,15,0.0,23.55,3.71,100.95,3.73
2024,1,2,16,0.0,23.33,3.53,100.93,3.54
2024,1,2,17,0.0,23.11,3.42,100.87,3.42
2024,1,2,18,0.0,22.92,3.35,100.81,3.33
2024,1,2,19,0.0,22.79,3.29,100.74,3.26
2024,1,2,20,0.0,22.62,3.24,100.68,3.18
2024,1,2,21,0.0,22.49,3.23,100.64,3.16
2024,1,2,22,0.0,22.42,3.3,100.65,3.26
2024,1,2,23,0.0,22.4,3.41,100.7,3.39
2024,1,3,0,0.0,22.44,3.56,100.79,3.53
2024,1,3,1,0.1,23.12,3.91,100.86,3.63
2024,1,3,2,0.5,24.52,4.86,100.93,3.5
2024,1,3,3,1.13,25.6,5.36,100.98,3.74
2024,1,3,4,1.68,26.39,5.4,100.96,3.67
2024,1,3,5,1.69,27.05,5.17,100.89,3.46
2024,1,3,6,1.88,27.49,4.97,100.78,3.28
2024,1,3,7,1.88,27.71,4.85,100.66,3.17
2024,1,3,8,1.62,27.66,4.85,100.58,3.17
2024,1,3,9,1.43,27.34,5.03,100.53,3.35
2024,1,3,10,0.79,26.8,5.27,100.54,3.66
2024,1,3,11,0.27,25.8,4.87,100.58,3.85
2024,1,3,12,0.01,24.51,4.19,100.65,4.07
