YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC,Tp,eta
2024,1,1,20,0.0,19.82947362464434,3.139166164205139,83.39627308268166,2.87002750376638,19.82947362464434,0.18418812636403809
2024,1,1,21,0.0,24.173903996284714,3.611023591477779,86.7396631153592,3.116999837438892,24.173903996284714,0.18066913776300939
2024,1,1,22,0.0,23.684455399272057,2.777394302890352,111.32792128587012,3.0351066491409,23.684455399272057,0.18106559112658963
2024,1,1,23,0.0,23.589877591275545,3.7217644654055015,109.7443260364232,3.4207705522897416,23.589877591275545,0.1811421991510668
2024,1,2,0,0.0,23.267952060856167,2.800815097952504,103.40099630014312,2.346898062841829,23.267952060856167,0.1814029588307065
2024,1,2,1,0.1201067836076557,23.76631254201921,2.51811067688509,99.58799895232954,2.9430505456115137,23.766672862370033,0.18099899498148025
2024,1,2,2,0.607179320985327,24.64195149226905,3.590727766926061,116.61904309443308,2.728618409514501,24.64377303023201,0.18028854384551207
2024,1,2,3,1.223646175361746,26.99366898104269,4.483844521163379,111.76352529157737,3.0295446499147385,26.997339919568773,0.17838215466514928
2024,1,2,4,2.01035132636632,24.18016932872785,5.287306207252696,113.57997141458252,3.585702790653768,24.18620038270695,0.1806591776900074
2024,1,2,5,1.9636979917942397,28.288786535940705,5.615369888185038,113.57702563012862,2.7701563191935312,28.294677629916087,0.17733131111976796
2024,1,2,6,2.460900954469952,29.54726623322126,4.566729983530784,106.59663915381684,2.522395767085935,29.55464893608467,0.17631073436177142
2024,1,2,7,1.7430894832234027,28.042150162306346,3.832431276752603,99.04815730143535,3.281549411374788,28.047379430756017,0.17753162266108763
2024,1,2,8,1.7136482154460768,27.125079970563423,5.168337288568637,115.33192631909829,2.9173758853851592,27.13022091520976,0.17827452105868008
2024,1,2,9,1.6290398085748017,26.30456040880588,4.955914731024648,117.76594654369563,2.639007610405982,26.309447528231605,0.1789393475021324
2024,1,2,10,0.7765918391073875,27.93681230097249,4.748909208998258,81.46224085323483,3.106896130060772,27.939142076489812,0.17761929491804324
2024,1,2,11,0.2694739195757039,27.18680719177945,3.861097565340541,82.62021785617848,3.3254305548722094,27.187615613538178,0.17822803135303406
2024,1,2,12,0.0100150937748985,27.075805599175258,3.8336745446562968,119.23735486541,3.9880616862191847,27.075835644456582,0.17831857312799015
2024,1,2,13,0.0,23.524004494765943,3.667049619788624,91.85155052001944,3.4066145250692585,23.524004494765943,0.1811955563592396
2024,1,2,14,0.0,25.888633844313517,4.289910466214893,115.99217753976774,3.764364782807301,25.888633844313517,0.17928020658610602
2024,1,2,15,0.0,24.41813494513603,3.77513824559508,96.45954690366143,3.7038533630714063,24.41813494513603,0.1804713106944398
2024,1,2,16,0.0,26.127018944068475,4.062109057105606,85.55230752580492,3.4822801461715525,26.127018944068475,0.17908711465530452
2024,1,2,17,0.0,23.77687264977372,3.4795680752404365,83.94172224204623,4.068350968800157,23.77687264977372,0.18099073315368328
2024,1,2,18,0.0,23.525778970387805,2.9992716338755065,86.95902452252032,2.7246116447366746,23.525778970387805,0.18119411903398588
2024,1,2,19,0.0,23.75726248864545,3.7520369170175023,90.66169618037532,3.848062515133929,23.75726248864545,0.18100661738419718
2024,1,2,20,0.0,24.615892130854608,3.314155882229337,100.21761114950225,3.2842241362004105,24.615892130854608,0.18031112737400778
2024,1,2,21,0.0,25.778142872970765,2.8512386212814813,108.75149948517618,3.533799831721876,25.778142872970765,0.17936970427289367
2024,1,2,22,0.0,20.361380125294595,3.463030309142213,120.23240668929816,3.169231973892962,20.361380125294595,0.1837572820985114
2024,1,2,23,0.0,20.2206076143461,3.215925667381472,98.3438916196878,3.327404166984466,20.2206076143461,0.18387130783237965
2024,1,3,0,0.0,25.565302024444037,4.050433591903902,101.5231441355048,4.065609016610343,25.565302024444037,0.17954210536020032
2024,1,3,1,0.1173310564951626,23.79925375310924,3.836960791243193,101.74013265660604,4.204896888615842,23.799605746278726,0.18097231934551425
2024,1,3,2,0.5612033009206138,25.709418087401616,5.300202000160818,102.52204379975896,3.134164434003817,25.71110169730438,0.17942400762518343
2024,1,3,3,1.2172232507856977,25.994541609568373,4.492829629172093,101.69658062176346,3.290065850362589,25.99819327932073,0.1791914634437502
2024,1,3,4,1.3473771382614896,24.45194471564485,5.175412588013068,81.12235970842049,3.664473235241089,24.455986847059634,0.18044065065388168
2024,1,3,5,1.641208656687457,29.158536270512,6.16934329062492,80.78160692106474,4.013983405544725,29.16345989648206,0.17662759748384954
2024,1,3,6,1.6525096838023283,29.47334787053152,5.58321905548057,84.56112461630026,3.046929882548903,29.478305399582926,0.17637257262633782
2024,1,3,7,2.1889200291087487,27.080219928956872,4.190285156591841,84.61707508047246,3.362754532250018,27.0867866890442,0.1783097027818742
2024,1,3,8,1.4091304220702816,26.9974354713704,4.418862255985875,108.82341244106937,3.433936340055082,27.001662862636614,0.17837865308126433
2024,1,3,9,1.3076263495491112,29.86704828543311,4.687589407418999,88.66408349953338,3.723424050958169,29.87097116448176,0.17605451335676978
2024,1,3,10,0.7953204186041019,24.73414354644796,5.586970601524399,116.41382243685176,3.75358540639629,24.73652950770377,0.18021341109875993
2024,1,3,11,0.2444432708517926,28.5866308901394,5.370625791485849,117.82368985154264,3.6997809745496135,28.587364219951954,0.1770942349818389
2024,1,3,12,0.0088394587091164,23.54997013937549,4.608206596362057,119.80946578368888,4.830302029764728,23.549996657751617,0.18117450270722119
2024,1,3,13,0.0,25.057908486532963,4.156351437243402,118.42146393650782,4.293027758429891,25.057908486532963,0.1799530941259083
2024,1,3,14,0.0,26.80596507401067,4.429853167632927,91.6116246930426,4.3111330343805685,26.80596507401067,0.17853716829005137
2024,1,3,15,0.0,25.00873500921988,3.528889063832824,101.22431970058206,3.404915091950415,25.00873500921988,0.1799929246425319
2024,1,3,16,0.0,23.25657887480222,2.879982046540782,87.73174803810224,3.567052105820115,23.25657887480222,0.18141217111141023
2024,1,3,17,0.0,24.80720525343249,3.364547696249803,113.12392361931111,2.8448250543267988,24.80720525343249,0.18015616374471968
2024,1,3,18,0.0,22.64387781789822,3.802564183366225,116.38069026366593,2.703096688704478,22.64387781789822,0.18190845896750243
2024,1,3,19,0.0,22.16355049809512,3.5415159499657043,114.82710413618952,3.1599366429061724,22.16355049809512,0.18229752409654293
2024,1,3,20,0.0,26.45009966760808,3.290422026455301,97.93815295115022,2.9550746309001603,26.45009966760808,0.17882541926923745
2024,1,3,21,0.0,24.92474138707873,3.451434581095222,110.99800242425732,3.2628643582736263,24.92474138707873,0.18006095947646622
2024,1,3,22,0.0,24.21831986429091,3.9386753643358094,84.4149761004274,2.895803514194565,24.21831986429091,0.18063316090992437
2024,1,3,23,0.0,22.44173785931591,3.3511130563202456,82.14841544421351,3.4511045969233374,22.44173785931591,0.1820721923339541
2024,1,4,0,0.0,20.59496497493029,3.3012541007427747,110.9444145509858,3.3824041711891075,20.59496497493029,0.18356807837030648
2024,1,4,1,0.104086175933799,21.17634125621093,4.287227853600647,97.80972750312716,3.666907925025885,21.17665351473873,0.1830969106530616
2024,1,4,2,0.5271303252422277,25.9450875326928,4.970937279773938,120.88838612783005,2.9139990194146472,25.946668923668526,0.17923319817182848
2024,1,4,3,0.8386717573714355,28.292196326234304,4.042095837236368,84.67034720251957,3.312850175651931,28.29471234150642,0.17733128300337977
2024,1,4,4,1.1020446475105383,27.824275142663133,4.198282137903012,115.27597824821432,3.25487806474498,27.827581276605663,0.17770965916594939
