-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 03/31/2024 in UTC
Location: Latitude  26.9124   Longitude 75.7873 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 405.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/hr) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                    MERRA-2 Surface Pressure (kPa) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Rough bare soil (vegtype_11) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC
2024,1,1,0,0.0,6.88,2.84,97.05,3.57
2024,1,1,1,0.0,6.56,2.88,97.11,3.64
2024,1,1,2,0.11,8.52,2.71,97.17,3.56
2024,1,1,3,0.4,11.77,3.39,97.23,2.64
2024,1,1,4,0.62,15.63,2.76,97.26,2.13
2024,1,1,5,0.85,19.06,1.75,97.23,1.22
2024,1,1,6,1.65,21.02,0.95,97.14,0.69
2024,1,1,7,1.93,22.19,0.75,97.03,0.56
2024,1,1,8,1.7,22.86,0.79,96.95,0.6
2024,1,1,9,1.26,22.98,0.78,96.88,0.6
2024,1,1,10,0.71,22.4,0.77,96.86,0.58
2024,1,1,11,0.24,20.31,0.79,96.87,0.77
2024,1,1,12,0.0,17.63,1.32,96.9,1.35
2024,1,1,13,0.0,15.97,1.87,96.97,1.97
2024,1,1,14,0.0,14.14,2.31,97.01,2.54
2024,1,1,15,0.0,12.45,2.66,97.05,3.05
2024,1,1,16,0.0,11.09,2.92,97.06,3.52
2024,1,1,17,0.0,10.05,3.06,97.07,3.88
2024,1,1,18,0.0,9.22,3.13,97.06,4.18
2024,1,1,19,0.0,8.53,3.12,97.03,4.37
2024,1,1,20,0.0,7.9,3.06,97.0,4.35
2024,1,1,21,0.0,7.37,3.01,96.98,4.25
2024,1,1,22,0.0,6.96,3.01,96.95,4.18
2024,1,1,23,0.0,6.61,2.99,96.96,4.08
2024,1,2,0,0.0,6.31,2.94,97.0,3.83
2024,1,2,1,0.0,6.09,2.81,97.07,3.47
2024,1,2,2,0.08,8.17,2.33,97.13,3.05
2024,1,2,3,0.26,11.67,2.95,97.19,2.3
2024,1,2,4,0.39,15.55,2.65,97.21,2.1
2024,1,2,5,0.5,19.17,2.44,97.17,1.81
2024,1,2,6,0.66,21.0,1.93,97.07,1.42
2024,1,2,7,0.66,22.13,1.71,96.96,1.26
2024,1,2,8,0.78,22.68,1.49,96.86,1.08
2024,1,2,9,0.72,22.56,1.22,96.8,0.87
2024,1,2,10,0.47,21.86,1.01,96.77,0.74
2024,1,2,11,0.17,19.46,1.09,96.79,1.09
2024,1,2,12,0.0,16.66,1.77,96.83,1.85
2024,1,2,13,0.0,14.63,2.36,96.89,2.63
2024,1,2,14,0.0,13.11,2.72,96.92,3.21
2024,1,2,15,0.0,11.94,2.88,96.93,3.52
2024,1,2,16,0.0,11.0,2.91,96.93,3.65
2024,1,2,17,0.0,10.25,2.89,96.91,3.67
