-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 10/01/2024 through 12/31/2024 in UTC
Location: Latitude  34.1526   Longitude 77.577 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4532.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/hr) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                    MERRA-2 Surface Pressure (kPa) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Rough glacial snow/ice (vegtype_20) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,PS,WSC
2024,10,1,0,0.0,-1.68,0.53,59.03,0.39
2024,10,1,1,0.47,-1.11,0.64,59.04,0.45
2024,10,1,2,1.27,2.26,0.36,59.07,0.24
2024,10,1,3,2.05,5.78,0.9,59.07,0.76
2024,10,1,4,2.66,8.28,1.83,59.06,1.29
2024,10,1,5,3.07,10.21,2.61,59.03,1.7
2024,10,1,6,3.26,11.7,3.36,58.98,2.1
2024,10,1,7,3.09,12.7,3.99,58.92,2.47
2024,10,1,8,2.81,13.15,4.51,58.87,2.78
2024,10,1,9,2.08,12.97,4.91,58.84,3.04
2024,10,1,10,1.42,12.06,5.05,58.83,3.14
2024,10,1,11,0.71,10.34,4.67,58.84,2.97
2024,10,1,12,0.05,5.68,2.82,58.87,2.51
2024,10,1,13,0.0,3.15,2.66,58.91,2.17
2024,10,1,14,0.0,2.43,2.46,58.95,1.94
2024,10,1,15,0.0,1.83,2.22,58.97,1.71
2024,10,1,16,0.0,1.2,1.99,58.97,1.52
2024,10,1,17,0.0,0.51,1.81,58.95,1.37
2024,10,1,18,0.0,-0.12,1.63,58.93,1.22
2024,10,1,19,0.0,-0.76,1.47,58.92,1.11
2024,10,1,20,0.0,-1.4,1.38,58.89,1.03
2024,10,1,21,0.0,-1.96,1.28,58.88,0.97
2024,10,1,22,0.0,-2.36,1.21,58.89,0.92
2024,10,1,23,0.0,-2.7,1.15,58.9,0.88
2024,10,2,0,0.0,-3.02,1.15,58.93,0.87
2024,10,2,1,0.47,-2.27,1.19,58.96,0.88
2024,10,2,2,1.3,1.32,1.38,59.0,0.93
2024,10,2,3,2.08,4.19,1.98,59.03,1.32
2024,10,2,4,2.61,6.2,2.61,59.03,1.72
2024,10,2,5,2.95,7.99,3.2,59.0,2.09
2024,10,2,6,3.1,9.43,3.71,58.95,2.39
2024,10,2,7,2.88,10.46,4.09,58.89,2.63
2024,10,2,8,2.61,10.99,4.4,58.83,2.8
2024,10,2,9,2.04,10.97,4.43,58.79,2.81
2024,10,2,10,1.39,10.32,4.3,58.79,2.7
2024,10,2,11,0.71,8.89,3.86,58.79,2.47
2024,10,2,12,0.05,4.58,2.39,58.82,2.06
2024,10,2,13,0.0,2.72,2.37,58.87,1.86
2024,10,2,14,0.0,1.9,2.35,58.93,1.83
2024,10,2,15,0.0,0.98,2.37,58.96,1.85
2024,10,2,16,0.0,0.32,2.27,58.97,1.77
2024,10,2,17,0.0,-0.09,2.08,58.96,1.6
2024,10,2,18,0.0,-0.33,1.8,58.94,1.38
2024,10,2,19,0.0,-0.53,1.48,58.92,1.14
2024,10,2,20,0.0,-0.83,1.18,58.89,0.92
2024,10,2,21,0.0,-1.25,0.88,58.88,0.7
2024,10,2,22,0.0,-1.49,0.63,58.88,0.51
2024,10,2,23,0.0,-1.72,0.42,58.89,0.34
2024,10,3,0,0.0,-2.0,0.23,58.92,0.2
2024,10,3,1,0.48,-1.57,0.11,58.96,0.1
2024,10,3,2,1.2,1.33,0.71,59.0,0.51
2024,10,3,3,1.93,4.12,1.22,59.03,0.7
2024,10,3,4,2.52,6.02,1.76,59.02,1.03
2024,10,3,5,2.89,7.91,2.58,58.99,1.56
2024,10,3,6,3.06,9.42,3.23,58.94,1.97
2024,10,3,7,2.94,10.4,3.65,58.87,2.25
2024,10,3,8,2.64,10.86,3.9,58.79,2.42
2024,10,3,9,2.09,10.79,4.0,58.75,2.5
2024,10,3,10,1.39,10.21,4.06,58.72,2.56
2024,10,3,11,0.67,8.89,3.84,58.73,2.48
2024,10,3,12,0.05,4.73,2.33,58.77,2.0
2024,10,3,13,0.0,2.89,2.28,58.81,1.81
2024,10,3,14,0.0,2.08,2.23,58.86,1.74
2024,10,3,15,0.0,1.16,2.27,58.89,1.77
2024,10,3,16,0.0,0.37,2.26,58.9,1.76
2024,10,3,17,0.0,-0.17,2.15,58.88,1.66
2024,10,3,18,0.0,-0.61,1.97,58.87,1.53
2024,10,3,19,0.0,-1.05,1.79,58.85,1.4
2024,10,3,20,0.0,-1.46,1.59,58.83,1.24
2024,10,3,21,0.0,-1.62,1.24,58.8,0.97
2024,10,3,22,0.0,-1.79,0.89,58.8,0.7
2024,10,3,23,0.0,-1.98,0.67,58.8,0.51
2024,10,4,0,0.0,-2.18,0.59,58.82,0.43
2024,10,4,1,0.45,-1.67,0.68,58.85,0.48
2024,10,4,2,1.19,1.81,0.7,58.9,0.45
2024,10,4,3,1.92,4.96,1.34,58.93,0.8
