Dataset,MAE,RMSE,Samples
chennai_q1_clean,70.11527,81.4905,2182
chennai_q1_noisy,68.674484,80.868484,2147
chennai_q1_rural,50.40913,55.262947,1056
chennai_q1_sparse,32.849564,33.75024,1493
chennai_q2_clean,71.91552,82.30149,2182
chennai_q2_noisy,49.192917,52.440548,2147
chennai_q2_rural,70.91488,80.68129,1056
chennai_q2_sparse,70.85708,81.82267,1493
chennai_q3_clean,69.48743,80.24127,2206
chennai_q3_noisy,36.441505,36.906013,2171
chennai_q3_rural,39.476364,40.844986,1068
chennai_q3_sparse,35.426483,35.88559,1510
chennai_q4_clean,67.619545,79.93636,2206
chennai_q4_noisy,69.42956,80.16922,2171
chennai_q4_rural,68.71917,80.36046,1068
chennai_q4_sparse,42.31601,45.213417,1510
delhi_q1_clean,38.73978,44.403267,2182
delhi_q1_noisy,63.1434,79.4067,2147
delhi_q1_rural,65.003876,80.36088,1056
delhi_q1_sparse,64.93344,80.31168,1493
delhi_q2_clean,73.52408,81.546715,2182
delhi_q2_noisy,72.94866,82.09807,2147
delhi_q2_rural,73.94325,83.57008,1056
delhi_q2_sparse,37.29758,37.78119,1493
delhi_q3_clean,27.87262,27.998348,2206
delhi_q3_noisy,70.788345,81.42466,2171
delhi_q3_rural,48.692554,58.25445,1068
delhi_q3_sparse,71.356346,81.99293,1510
delhi_q4_clean,65.397064,79.33751,2206
delhi_q4_noisy,40.166203,44.597374,2171
delhi_q4_rural,31.135208,33.192646,1068
delhi_q4_sparse,34.782352,38.000256,1510
jaipur_q1_clean,64.025375,79.11221,2182
jaipur_q1_noisy,63.41094,78.21021,2147
jaipur_q1_rural,64.92071,79.83403,1056
jaipur_q1_sparse,64.69594,79.20396,1493
jaipur_q2_clean,53.58073,59.062874,2182
jaipur_q2_noisy,71.82503,81.66342,2147
jaipur_q2_rural,73.02416,82.78295,1056
jaipur_q2_sparse,71.76493,81.36356,1493
jaipur_q3_clean,70.411194,81.919525,2206
jaipur_q3_noisy,36.605835,37.54309,2171
jaipur_q3_rural,68.16521,79.52862,1068
jaipur_q3_sparse,68.01973,79.70224,1510
jaipur_q4_clean,28.323051,29.173653,2206
jaipur_q4_noisy,65.82417,80.735504,2171
jaipur_q4_rural,65.28687,79.6237,1068
jaipur_q4_sparse,31.574678,33.50305,1510
leh_q1_clean,43.332367,53.423874,2182
leh_q1_noisy,33.10051,38.63803,2147
leh_q1_rural,38.269485,45.85818,1056
leh_q1_sparse,62.98597,78.994934,1493
leh_q2_clean,57.61295,77.919655,2182
leh_q2_noisy,57.60839,77.84148,2147
leh_q2_rural,31.081268,40.665756,1056
leh_q2_sparse,56.90928,76.98351,1493
leh_q3_clean,38.296852,48.842022,2206
leh_q3_noisy,60.55423,78.15332,2171
leh_q3_rural,60.356632,79.62816,1068
leh_q3_sparse,59.222008,77.75598,1510
leh_q4_clean,58.744446,78.518585,2206
leh_q4_noisy,58.50198,78.457726,2171
leh_q4_rural,58.382565,77.91863,1068
leh_q4_sparse,41.74069,54.915764,1510
